Newcastle City Council Invoices over �250 paid in January 2014,,,,,,,,,,,,
,,,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122229,Revenue,1MF10,Adoption Payments,131.73 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122162,Revenue,1MF10,Adoption Payments,164.80 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122164,Revenue,1MF10,Adoption Payments,82.40 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122176,Revenue,1MF10,Adoption Payments,243.03 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122186,Revenue,1MF10,Adoption Payments,324.16 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122038,Revenue,1MF10,Adoption Payments,246.39 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122039,Revenue,1MF10,Adoption Payments,94.65 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122037,Revenue,1MF10,Adoption Payments,162.02 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122073,Revenue,1MF10,Adoption Payments,81.01 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122172,Revenue,1MD85,Residence Orders,307.32 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122077,Revenue,1MF10,Adoption Payments,164.80 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122080,Revenue,1MF10,Adoption Payments,164.80 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122076,Revenue,1MF10,Adoption Payments,199.20 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121904,Revenue,1MF35,Special Guardianship Allow,267.10 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121921,Revenue,1MF10,Adoption Payments,201.98 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121924,Revenue,1MF35,Special Guardianship Allow,182.42 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122242,Revenue,1MF35,Special Guardianship Allow,133.55 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122105,Revenue,1MF35,Special Guardianship Allow,267.10 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122133,Revenue,1MF35,Special Guardianship Allow,182.42 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121951,Revenue,1MF10,Adoption Payments,250.38 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121934,Revenue,1MF35,Special Guardianship Allow,368.90 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121892,Revenue,1MD85,Residence Orders,96.23 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121945,Revenue,1MC20,In-House Foster Carer Costs,278.71 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121965,Revenue,1MC20,In-House Foster Carer Costs,580.69 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122047,Revenue,1MC20,In-House Foster Carer Costs,"1,213.50 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121971,Revenue,1MC20,In-House Foster Carer Costs,409.50 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122207,Revenue,1MC13,Post 18 Staying Put,150.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121983,Revenue,1MF03,Supported Lodgings LC,460.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122191,Revenue,1MC20,In-House Foster Carer Costs,148.42 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122055,Revenue,1MF35,Special Guardianship Allow,"1,947.10 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122015,Revenue,1MC20,In-House Foster Carer Costs,204.75 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121844,Revenue,1MC20,In-House Foster Carer Costs,506.25 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122135,Revenue,1MC20,In-House Foster Carer Costs,230.79 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122040,Revenue,1MF35,Special Guardianship Allow,126.65 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122044,Revenue,1MF35,Special Guardianship Allow,126.65 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121870,Revenue,1MC20,In-House Foster Carer Costs,390.87 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121886,Revenue,1MC20,In-House Foster Carer Costs,130.29 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121885,Revenue,1MC20,In-House Foster Carer Costs,100.50 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122183,Revenue,1MC20,In-House Foster Carer Costs,560.25 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121867,Revenue,1MC20,In-House Foster Carer Costs,104.09 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122059,Revenue,1MC20,In-House Foster Carer Costs,123.91 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122231,Revenue,1MC20,In-House Foster Carer Costs,675.29 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122100,Revenue,1MC20,In-House Foster Carer Costs,411.33 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121966,Revenue,1MC20,In-House Foster Carer Costs,532.29 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121978,Revenue,1MF03,Supported Lodgings LC,137.50 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121973,Revenue,1MF35,Special Guardianship Allow,115.60 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122177,Revenue,1MC20,In-House Foster Carer Costs,519.25 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121982,Revenue,1MC20,In-House Foster Carer Costs,"-1,208.09 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121982,Revenue,1MF35,Special Guardianship Allow,657.53 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121857,Revenue,1MC20,In-House Foster Carer Costs,698.84 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121910,Revenue,1MC20,In-House Foster Carer Costs,603.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122005,Revenue,1MC20,In-House Foster Carer Costs,201.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121993,Revenue,1MC20,In-House Foster Carer Costs,449.92 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121994,Revenue,1MC20,In-House Foster Carer Costs,711.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122021,Revenue,1MC20,In-House Foster Carer Costs,148.42 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122205,Revenue,1MF03,Supported Lodgings LC,300.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121860,Revenue,1MC20,In-House Foster Carer Costs,355.50 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122097,Revenue,1MF03,Supported Lodgings LC,150.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121984,Revenue,1MC20,In-House Foster Carer Costs,252.08 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122090,Revenue,1MF03,Supported Lodgings LC,300.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122143,Revenue,1MC20,In-House Foster Carer Costs,296.84 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122241,Revenue,1MC20,In-House Foster Carer Costs,-229.81 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122241,Revenue,1MC21,Fostering Unit,730.29 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121874,Revenue,1MC20,In-House Foster Carer Costs,705.04 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121900,Revenue,1MC20,In-House Foster Carer Costs,915.75 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121878,Revenue,1MF35,Special Guardianship Allow,267.10 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122008,Revenue,1MC20,In-House Foster Carer Costs,355.50 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122184,Revenue,1MC20,In-House Foster Carer Costs,260.58 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122184,Revenue,1MC13,Post 18 Staying Put,162.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121972,Revenue,1MC20,In-House Foster Carer Costs,296.84 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121958,Revenue,1MF35,Special Guardianship Allow,253.30 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122026,Revenue,1MC20,In-House Foster Carer Costs,409.50 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122233,Revenue,1MC20,In-House Foster Carer Costs,959.92 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122078,Revenue,1MF10,Adoption Payments,243.03 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121876,Revenue,1MF10,Adoption Payments,243.03 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121806,Revenue,1MC20,In-House Foster Carer Costs,130.29 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121969,Revenue,1MF03,Supported Lodgings LC,250.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122098,Revenue,1MC20,In-House Foster Carer Costs,657.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122006,Revenue,1MF03,Supported Lodgings LC,575.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122009,Revenue,1MC20,In-House Foster Carer Costs,942.58 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122009,Revenue,1MF03,Supported Lodgings LC,300.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121812,Revenue,1MF03,Supported Lodgings LC,550.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121851,Revenue,1MF03,Supported Lodgings LC,137.50 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122092,Revenue,1MF03,Supported Lodgings LC,275.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122178,Revenue,1MF03,Supported Lodgings LC,275.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122101,Revenue,1MC21,Fostering Unit,153.32 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121927,Revenue,1MF03,Supported Lodgings LC,275.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122000,Revenue,1MC20,In-House Foster Carer Costs,356.45 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122029,Revenue,1MC20,In-House Foster Carer Costs,238.60 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122025,Revenue,1MC20,In-House Foster Carer Costs,251.25 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122236,Revenue,1MF35,Special Guardianship Allow,102.71 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122023,Revenue,1MC20,In-House Foster Carer Costs,100.50 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121882,Revenue,1MC20,In-House Foster Carer Costs,461.58 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122110,Revenue,1MC20,In-House Foster Carer Costs,150.75 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122126,Revenue,1MF10,Adoption Payments,213.28 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121975,Revenue,1MF10,Adoption Payments,620.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122035,Revenue,1MC20,In-House Foster Carer Costs,204.75 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122108,Revenue,1MC20,In-House Foster Carer Costs,"1,220.00 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121944,Revenue,1MC20,In-House Foster Carer Costs,150.75 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122150,Revenue,1MC21,Fostering Unit,507.80 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122013,Revenue,1MC20,In-House Foster Carer Costs,598.34 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122018,Revenue,1MF10,Adoption Payments,"3,000.00 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121897,Revenue,1MC20,In-House Foster Carer Costs,"2,369.25 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122020,Revenue,1MC20,In-House Foster Carer Costs,768.30 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121835,Revenue,1MC20,In-House Foster Carer Costs,-28.43 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121834,Revenue,1MC20,In-House Foster Carer Costs,610.48 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121880,Revenue,1MC20,In-House Foster Carer Costs,114.85 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122014,Revenue,1MF10,Adoption Payments,500.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121826,Revenue,1MC20,In-House Foster Carer Costs,150.75 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122121,Revenue,1MC20,In-House Foster Carer Costs,230.79 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121838,Revenue,1MC20,In-House Foster Carer Costs,969.75 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121838,Revenue,1MF03,Supported Lodgings LC,150.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121839,Revenue,1MC20,In-House Foster Carer Costs,"1,568.09 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121840,Revenue,1MC20,In-House Foster Carer Costs,"2,133.00 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121841,Revenue,1MC20,In-House Foster Carer Costs,805.42 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121825,Revenue,1MC20,In-House Foster Carer Costs,148.42 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121818,Revenue,1MC20,In-House Foster Carer Costs,204.75 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121829,Revenue,1MC20,In-House Foster Carer Costs,606.75 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121843,Revenue,1MC20,In-House Foster Carer Costs,150.75 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121843,Revenue,1MC13,Post 18 Staying Put,300.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121859,Revenue,1MC20,In-House Foster Carer Costs,"1,309.34 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121810,Revenue,1MC20,In-House Foster Carer Costs,409.50 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121823,Revenue,1MC20,In-House Foster Carer Costs,598.34 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121846,Revenue,1MF10,Adoption Payments,329.80 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121847,Revenue,1MC20,In-House Foster Carer Costs,355.19 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121807,Revenue,1MC20,In-House Foster Carer Costs,"1,883.58 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121849,Revenue,1MC20,In-House Foster Carer Costs,929.44 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121814,Revenue,1MC20,In-House Foster Carer Costs,510.69 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122226,Revenue,1MC20,In-House Foster Carer Costs,763.08 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121850,Revenue,1MC20,In-House Foster Carer Costs,"1,422.00 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121852,Revenue,1MC20,In-House Foster Carer Costs,550.42 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121852,Revenue,1MF03,Supported Lodgings LC,137.50 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121811,Revenue,1MC20,In-House Foster Carer Costs,355.50 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121853,Revenue,1MC20,In-House Foster Carer Costs,362.67 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121832,Revenue,1MC20,In-House Foster Carer Costs,"1,704.86 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121833,Revenue,1MC20,In-House Foster Carer Costs,"2,032.50 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121833,Revenue,1MF10,Adoption Payments,473.16 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121854,Revenue,1MC20,In-House Foster Carer Costs,"2,258.43 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121808,Revenue,1MC20,In-House Foster Carer Costs,204.75 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121808,Revenue,1MC13,Post 18 Staying Put,300.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121864,Revenue,1MC20,In-House Foster Carer Costs,32.83 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121864,Revenue,1MC21,Fostering Unit,"1,257.11 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121863,Revenue,1MC21,Fostering Unit,196.98 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122111,Revenue,1MC20,In-House Foster Carer Costs,"1,144.15 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122111,Revenue,1MF10,Adoption Payments,75.56 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122111,Revenue,1MC13,Post 18 Staying Put,150.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122140,Revenue,1MC20,In-House Foster Carer Costs,711.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122141,Revenue,1MC20,In-House Foster Carer Costs,230.79 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122112,Revenue,1MC20,In-House Foster Carer Costs,711.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122154,Revenue,1MC20,In-House Foster Carer Costs,506.25 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122151,Revenue,1MC20,In-House Foster Carer Costs,"1,007.84 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122148,Revenue,1MC20,In-House Foster Carer Costs,355.50 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122153,Revenue,1MC20,In-House Foster Carer Costs,449.92 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122156,Revenue,1MC20,In-House Foster Carer Costs,557.92 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122159,Revenue,1MC20,In-House Foster Carer Costs,"1,422.00 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122225,Revenue,1MD85,Residence Orders,206.26 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122216,Revenue,1MC20,In-House Foster Carer Costs,614.25 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122232,Revenue,1MC20,In-House Foster Carer Costs,"1,217.25 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122232,Revenue,1MC21,Fostering Unit,69.42 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122232,Revenue,1MC13,Post 18 Staying Put,150.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122218,Revenue,1MC20,In-House Foster Carer Costs,"1,349.76 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122240,Revenue,1MF35,Special Guardianship Allow,"1,277.68 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122046,Revenue,1MF35,Special Guardianship Allow,785.22 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122095,Revenue,1MC20,In-House Foster Carer Costs,918.16 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122095,Revenue,1MC13,Post 18 Staying Put,300.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122185,Revenue,1MC20,In-House Foster Carer Costs,765.00 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122084,Revenue,1MF35,Special Guardianship Allow,518.34 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121872,Revenue,1MC20,In-House Foster Carer Costs,598.34 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121889,Revenue,1MD85,Residence Orders,366.82 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122086,Revenue,1MC20,In-House Foster Carer Costs,947.76 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122145,Revenue,1MC20,In-House Foster Carer Costs,"1,766.89 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121805,Revenue,1MC20,In-House Foster Carer Costs,358.41 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122210,Revenue,1MC20,In-House Foster Carer Costs,"1,009.67 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121868,Revenue,1MC20,In-House Foster Carer Costs,598.34 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122190,Revenue,1MC20,In-House Foster Carer Costs,728.79 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122053,Revenue,1MC21,Fostering Unit,541.68 ,,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6121873,Revenue,1MC20,In-House Foster Carer Costs,"1,422.00 ",,,
Children's Services,Social Services - Carepay              ,Third Party Payments,21/01/2014,Redacted Personal Data,6122082,Revenue,1MC20,In-House Foster Carer Costs,260.58 ,,,
