Newcastle City Council Invoices over �250 paid in September 2014,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,VALLEY LODGE CARE HOME,6355067,Revenue,1MG20,Ind Res Care Elderly,-486.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,VALLEY LODGE CARE HOME,6355067,Revenue,1MG20,Ind Res Care Elderly,"1,668.52",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,VALLEY VIEW RESIDENTIAL HOME,6367579,Revenue,1MG20,Ind Res Care Elderly,"-1,059.16",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,VALLEY VIEW RESIDENTIAL HOME,6367579,Revenue,1MG20,Ind Res Care Elderly,"3,396.00",
Environment & Regeneration,NS: District Heating       ,Premises,24/09/2014,VALVE SERVICES,6356934,Revenue,1KR05,District Heating,514.00,
Environment & Regeneration,NS: District Heating       ,Premises,24/09/2014,VALVE SERVICES,6358259,Revenue,1KR05,District Heating,305.80,
Chief Executive's,CD - Central Policy Unit         ,Supplies & Services,29/09/2014,VERTICAL VEG,6353728,Revenue,1FT85,Global Awarness In Action,"3,425.00",
Environment & Regeneration,Fleet Management System                ,Supplies & Services,15/09/2014,VFS (SOUTHAMPTON)LTD,6347219,Revenue,1KESH,Light Workshop Routine Repair,360.75,
Children's Services,Childrens Services Support       ,Supplies & Services,19/09/2014,VIEWPOINT ORGANISATION (EUROPE) LTD,6365158,Revenue,1MB04,Childrens Standards Unit,"7,940.40",
Chief Executive's,CD - ICT Services (Sch & Child)  ,Capital Expenditure,12/09/2014,VIGLEN LTD,6343473,Capital,2CITC,IT Services,"16,600.00",
Chief Executive's,CD - IT Mgmt & Networks          ,Capital Expenditure,03/09/2014,VIGLEN LTD,6336947,Capital,2CITC,IT Services,"32,400.00",
HRA,HRA IT/Ngate               ,Supplies & Services,12/09/2014,VIGLEN LTD,6341845,Revenue,1HC04,HRA ICT Engagement,288.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,29/09/2014,VIKING DIRECT LTD,6358611,Revenue,1E+161,Hadrian,448.00,
Environment & Regeneration,E&R Environmental Crime    ,Supplies & Services,04/09/2014,VIPA UK LIMITED,6335361,Revenue,1D559,Street Enforcement,350.00,
Environment & Regeneration,E&R - Technical Consultancy    ,Premises,10/09/2014,VIRGIN MEDIA,6357002,Revenue,1V209,S.278 Developers Works,"14,829.49",
Chief Executive's,CD - ICT Services (Sch & Child)  ,Supplies & Services,04/09/2014,VIRGIN MEDIA BUSINESS,6351281,Revenue,1CC24,Telecoms,867.60,
Chief Executive's,CD - ICT Services (Sch & Child)  ,Supplies & Services,05/09/2014,VIRGIN MEDIA BUSINESS,6352843,Revenue,1CC24,Telecoms,"12,989.83",
Chief Executive's,CD - ICT Services (Sch & Child)  ,Supplies & Services,11/09/2014,VIRGIN MEDIA BUSINESS,6357380,Revenue,1CC24,Telecoms,"1,623.03",
Chief Executive's,CD - ICT Services (Sch & Child)  ,Supplies & Services,11/09/2014,VIRGIN MEDIA BUSINESS,6358128,Revenue,1CC24,Telecoms,255.00,
Chief Executive's,CD - ICT Services (Sch & Child)  ,Supplies & Services,12/09/2014,VIRGIN MEDIA BUSINESS,6358343,Revenue,1CC24,Telecoms,"6,442.15",
Chief Executive's,CD - ICT Services (Sch & Child)  ,Supplies & Services,22/09/2014,VIRGIN MEDIA BUSINESS,6366323,Revenue,1CC24,Telecoms,518.57,
Chief Executive's,CD - ICT Services (Sch & Child)  ,Supplies & Services,25/09/2014,VIRGIN MEDIA BUSINESS,6354329,Revenue,1CC24,Telecoms,381.09,
Chief Executive's,CD - ICT Services (Sch & Child)  ,Supplies & Services,26/09/2014,VIRGIN MEDIA BUSINESS,6370719,Revenue,1CC24,Telecoms,"6,442.15",
Chief Executive's,CD - ICT Services (Sch & Child)  ,Supplies & Services,29/09/2014,VIRGIN MEDIA BUSINESS,6372100,Revenue,1CC24,Telecoms,832.60,
Children's Services,Invoice,Premises,11/09/2014,VIRGIN MEDIA BUSINESS,6358704,Revenue,1V209,S.278 Developers Works,"14,829.49",
Children's Services,Educ North Moor Sure S     ,Supplies & Services,12/09/2014,VIRGIN MEDIA PAYMENTS LIMITED,6359457,Revenue,1EEK4,Northern Villages C Centre,"41,405.48",
Children's Services,Schools Payment Agency                 ,Supplies & Services,05/09/2014,VISION FOR EDUCATION LTD,6352453,Revenue,1E+254,Linhope PRU,"5,836.20",
Children's Services,Schools Payment Agency                 ,Supplies & Services,05/09/2014,VISION FOR EDUCATION LTD,6352558,Revenue,1E+83,St. Cuthberts R.C. Primary (W,270.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,05/09/2014,VISION FOR EDUCATION LTD,6352560,Revenue,1E+83,St. Cuthberts R.C. Primary (W,450.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,10/09/2014,VISION FOR EDUCATION LTD,6357226,Revenue,1E+98,Central Walker Primary,495.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,10/09/2014,VISION FOR EDUCATION LTD,6357228,Revenue,1E+98,Central Walker Primary,297.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,11/09/2014,VISION FOR EDUCATION LTD,6358280,Revenue,1E+25,South Gosforth First,775.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,11/09/2014,VISION FOR EDUCATION LTD,6358553,Revenue,1E+24,Simonside Primary,"1,030.00",
Children's Services,Schools Payment Agency                 ,Supplies & Services,11/09/2014,VISION FOR EDUCATION LTD,6358554,Revenue,1E+24,Simonside Primary,"1,030.00",
Children's Services,Schools Payment Agency                 ,Supplies & Services,12/09/2014,VISION FOR EDUCATION LTD,6358703,Revenue,1E+29,West Denton Primary,315.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,12/09/2014,VISION FOR EDUCATION LTD,6359467,Revenue,1E+29,West Denton Primary,300.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,18/09/2014,VISION FOR EDUCATION LTD,6364370,Revenue,1E+18,Knoplaw Primary,372.50,
Children's Services,Schools Payment Agency                 ,Supplies & Services,18/09/2014,VISION FOR EDUCATION LTD,6364371,Revenue,1E+18,Knoplaw Primary,298.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,19/09/2014,VISION FOR EDUCATION LTD,6365459,Revenue,1E+254,Linhope PRU,"1,508.00",
Children's Services,Schools Payment Agency                 ,Supplies & Services,19/09/2014,VISION FOR EDUCATION LTD,6365460,Revenue,1E+254,Linhope PRU,333.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,22/09/2014,VISION FOR EDUCATION LTD,6366350,Revenue,1E+254,Linhope PRU,"6,130.70",
Children's Services,Schools Payment Agency                 ,Supplies & Services,22/09/2014,VISION FOR EDUCATION LTD,6366354,Revenue,1E+85,St. John Vianney R.C. Primary,757.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,22/09/2014,VISION FOR EDUCATION LTD,6366355,Revenue,1E+85,St. John Vianney R.C. Primary,456.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,22/09/2014,VISION FOR EDUCATION LTD,6366510,Revenue,1E+69,West Walker Primary,445.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,22/09/2014,VISION FOR EDUCATION LTD,6366511,Revenue,1E+69,West Walker Primary,356.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,23/09/2014,VISION FOR EDUCATION LTD,6366348,Revenue,1E+25,South Gosforth First,775.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,25/09/2014,VISION FOR EDUCATION LTD,6370124,Revenue,1E+27,Walbottle Primary,375.00,
Children's Services,Heaton Manor High School               ,Supplies & Services,30/09/2014,VISION FOR EDUCATION LTD,6372445,Revenue,1E+135,Heaton Manor Comprehensive,925.00,
Children's Services,Thomas Bewick Special School           ,Supplies & Services,08/09/2014,VISION FOR EDUCATION LTD,6353518,Revenue,1E+163,Thomas Bewick,472.24,
Children's Services,Thomas Bewick Special School           ,Supplies & Services,08/09/2014,VISION FOR EDUCATION LTD,6353519,Revenue,1E+163,Thomas Bewick,380.00,
Children's Services,Thomas Bewick Special School           ,Supplies & Services,08/09/2014,VISION FOR EDUCATION LTD,6353522,Revenue,1E+163,Thomas Bewick,590.30,
Children's Services,Thomas Bewick Special School           ,Supplies & Services,08/09/2014,VISION FOR EDUCATION LTD,6353524,Revenue,1E+163,Thomas Bewick,475.00,
Children's Services,Thomas Bewick Special School           ,Supplies & Services,17/09/2014,VISION FOR EDUCATION LTD,6363383,Revenue,1E+163,Thomas Bewick,475.00,
Children's Services,Thomas Bewick Special School           ,Supplies & Services,17/09/2014,VISION FOR EDUCATION LTD,6363384,Revenue,1E+163,Thomas Bewick,475.00,
Children's Services,Thomas Bewick Special School           ,Supplies & Services,17/09/2014,VISION FOR EDUCATION LTD,6363385,Revenue,1E+163,Thomas Bewick,475.00,
Children's Services,Thomas Bewick Special School           ,Supplies & Services,25/09/2014,VISION FOR EDUCATION LTD,6369998,Revenue,1E+163,Thomas Bewick,380.00,
Children's Services,Thomas Bewick Special School           ,Supplies & Services,25/09/2014,VISION FOR EDUCATION LTD,6369999,Revenue,1E+163,Thomas Bewick,590.30,
Children's Services,Thomas Bewick Special School           ,Supplies & Services,25/09/2014,VISION FOR EDUCATION LTD,6370001,Revenue,1E+163,Thomas Bewick,475.00,
Children's Services,Thomas Bewick Special School           ,Supplies & Services,25/09/2014,VISION FOR EDUCATION LTD,6370055,Revenue,1E+163,Thomas Bewick,380.00,
Children's Services,Throckley First School                 ,Supplies & Services,12/09/2014,VISION FOR EDUCATION LTD,6359404,Revenue,1E+26,Throckley Primary,725.00,
Children's Services,Throckley First School                 ,Supplies & Services,26/09/2014,VISION FOR EDUCATION LTD,6371184,Revenue,1E+26,Throckley Primary,725.00,
Children's Services,Throckley First School                 ,Supplies & Services,26/09/2014,VISION FOR EDUCATION LTD,6371185,Revenue,1E+26,Throckley Primary,475.00,
Children's Services,Throckley First School                 ,Supplies & Services,26/09/2014,VISION FOR EDUCATION LTD,6371186,Revenue,1E+26,Throckley Primary,750.00,
Children's Services,Throckley First School                 ,Supplies & Services,26/09/2014,VISION FOR EDUCATION LTD,6371187,Revenue,1E+26,Throckley Primary,725.00,
Children's Services,Throckley First School                 ,Supplies & Services,26/09/2014,VISION FOR EDUCATION LTD,6371188,Revenue,1E+26,Throckley Primary,475.00,
Children's Services,Sir Charles Parson Special School      ,Supplies & Services,23/09/2014,VISION FOR EDUCATION LTD,6368012,Revenue,1E+81,St. Charles R.C. Primary,"1,415.00",
Children's Services,Sir Charles Parson Special School      ,Supplies & Services,23/09/2014,VISION FOR EDUCATION LTD,6368014,Revenue,1E+81,St. Charles R.C. Primary,510.00,
Children's Services,Sir Charles Parson Special School      ,Supplies & Services,23/09/2014,VISION FOR EDUCATION LTD,6368015,Revenue,1E+81,St. Charles R.C. Primary,370.00,
Children's Services,Regent Farm First School               ,Supplies & Services,09/09/2014,VISION FOR EDUCATION LTD,6354552,Revenue,1E+23,Regent Farm First,725.00,
Children's Services,Regent Farm First School               ,Supplies & Services,18/09/2014,VISION FOR EDUCATION LTD,6364268,Revenue,1E+23,Regent Farm First,725.00,
Children's Services,Walkergate Primary School              ,Supplies & Services,24/09/2014,VISION FOR EDUCATION LTD,6368892,Revenue,1E+61,Walkergate Primary School,465.00,
Children's Services,St Cuthberts RC (Walbottle) Primary Sch,Supplies & Services,09/09/2014,VISION FOR EDUCATION LTD,6354620,Revenue,1E+83,St. Cuthberts R.C. Primary (W,450.00,
Children's Services,North Fawdon Primary School            ,Supplies & Services,10/09/2014,VISION FOR EDUCATION LTD,6357049,Revenue,1E+54,North Fawdon Primary,465.00,
Children's Services,North Fawdon Primary School            ,Supplies & Services,26/09/2014,VISION FOR EDUCATION LTD,6371177,Revenue,1E+54,North Fawdon Primary,775.00,
Children's Services,North Fawdon Primary School            ,Supplies & Services,26/09/2014,VISION FOR EDUCATION LTD,6371178,Revenue,1E+54,North Fawdon Primary,775.00,
Children's Services,Walker Secon/High School               ,Supplies & Services,17/09/2014,VISION FOR EDUCATION LTD,6363693,Revenue,1E+137,Walker Comprehensive,"3,152.00",
Children's Services,Walker Secon/High School               ,Supplies & Services,24/09/2014,VISION FOR EDUCATION LTD,6369044,Revenue,1E+137,Walker Comprehensive,366.00,
Children's Services,Walker Secon/High School               ,Supplies & Services,24/09/2014,VISION FOR EDUCATION LTD,6369067,Revenue,1E+137,Walker Comprehensive,915.00,
Children's Services,Bridges School                         ,Supplies & Services,12/09/2014,VISION FOR EDUCATION LTD,6359119,Revenue,1E+170,Bridges School-Hospital,329.67,
Children's Services,West Jesmond Primary School            ,Supplies & Services,17/09/2014,VISION FOR EDUCATION LTD,6363686,Revenue,1E+68,West Jesmond Primary,342.50,
Children's Services,Archibald First School                 ,Supplies & Services,23/09/2014,VISION FOR EDUCATION LTD,6367814,Revenue,1E+11,Archibald First,580.00,
Children's Services,Archibald First School                 ,Supplies & Services,24/09/2014,VISION FOR EDUCATION LTD,6367943,Revenue,1E+11,Archibald First,290.00,
Children's Services,Archibald First School                 ,Supplies & Services,29/09/2014,VISION FOR EDUCATION LTD,6371820,Revenue,1E+11,Archibald First,580.00,
Children's Services,St John's Primary School               ,Supplies & Services,26/09/2014,VISION FOR EDUCATION LTD,6371075,Revenue,1E+56,St. John's Primary,465.00,
Children's Services,St John's Primary School               ,Supplies & Services,26/09/2014,VISION FOR EDUCATION LTD,6371124,Revenue,1E+56,St. John's Primary,465.00,
Children's Services,Schools Payment Agency                 ,Premises,19/09/2014,VITA DIRECT,6365038,Revenue,1E+58,Tyneview Primary,285.30,
Children's Services,Lemington First School                 ,Premises,25/09/2014,VITA DIRECT,6370220,Revenue,1E+19,Lemington Riverside Primary,516.00,
Children's Services,Regent Farm First School               ,Premises,09/09/2014,VITA DIRECT,6354981,Revenue,1E+23,Regent Farm First,571.20,
Children's Services,Walker Secon/High School               ,Premises,30/09/2014,VITA DIRECT,6373160,Revenue,1E+137,Walker Comprehensive,968.35,
HRA,HRA General             ,Premises,01/09/2014,VITAL ENERGI UTILITIES LIMITED,6346676,Revenue,1HGA7,DH - Biomass,"27,012.09",
HRA,HRA General             ,Premises,12/09/2014,VITAL ENERGI UTILITIES LIMITED,6359382,Revenue,1HGA7,DH - Biomass,"24,537.11",
Chief Executive's,CD - Occup Health Unit           ,Supplies & Services,23/09/2014,VITALOGRAPH LTD,6367963,Revenue,1FP30,Occupational Health,255.00,
Environment & Regeneration,NS: Asset Man              ,Premises,15/09/2014,VIVID ACOUSTIC SYSTEMS,6349510,Revenue,1FRAT,Housing Advice,300.00,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,VOYAGE,6367618,Revenue,1MM10,Ind Nursing Care MH,-335.00,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,VOYAGE,6367618,Revenue,1MG20,Ind Res Care Elderly,"5,200.00",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,VOYAGE,6367618,Revenue,1MH20,Ind Res Care PD,"2,800.00",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,VOYAGE,6367618,Revenue,1MM10,Ind Nursing Care MH,"7,462.04",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,VOYAGE,6367618,Revenue,1MM20,Ind Res Care MH,"2,800.00",
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,17/09/2014,VOYAGE LTD,6363402,Revenue,1MK50,Ind Supported Living LD,"4,347.32",
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,17/09/2014,VOYAGE LTD,6363403,Revenue,1MK50,Ind Supported Living LD,"4,347.32",
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,17/09/2014,VOYAGE LTD,6363404,Revenue,1MK50,Ind Supported Living LD,"1,086.83",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2014,VOYAGE LTD,6373345,Revenue,1MK50,Ind Supported Living LD,"3,147.32",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2014,VOYAGE LTD,6373346,Revenue,1MK50,Ind Supported Living LD,"1,200.00",
Environment & Regeneration,Highways                               ,Premises,12/09/2014,WACKER (GREAT BRITAIN) LTD,6343751,Revenue,1KEMC,Highways,389.36,
Environment & Regeneration,Highways                               ,Premises,29/09/2014,WACKER (GREAT BRITAIN) LTD,6353613,Revenue,1KEMC,Highways,354.74,
Children's Services,Walbottle Campus Secon/High School     ,Premises,04/09/2014,WALBOTTLE CAMPUS,6351370,Revenue,1E+121,Walbottle High,8.33,
Children's Services,Walbottle Campus Secon/High School     ,Supplies & Services,04/09/2014,WALBOTTLE CAMPUS,6351370,Revenue,1E+121,Walbottle High,"2,864.02",
Children's Services,Walbottle Campus Secon/High School     ,Supplies & Services,18/09/2014,WALBOTTLE CAMPUS,6364421,Revenue,1E+121,Walbottle High,982.73,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,WALKER LODGE,6367571,Revenue,1MG20,Ind Res Care Elderly,"-10,297.24",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,WALKER LODGE,6367571,Revenue,1MH20,Ind Res Care PD,-495.80,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,WALKER LODGE,6367571,Revenue,1MK20,Ind Res Care LD,-50.69,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,WALKER LODGE,6367571,Revenue,1MG20,Ind Res Care Elderly,"37,022.56",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,WALKER LODGE,6367571,Revenue,1MH20,Ind Res Care PD,"1,744.00",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,WALKER LODGE,6367571,Revenue,1MK20,Ind Res Care LD,269.58,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,05/09/2014,WALKER ORGANICS,6334840,Revenue,1KEAT,Hortic Services Overhead,994.70,
Adult and Culture,Adult Serv Finance         ,Transfer Payments,19/09/2014,WALKER TAXIS,6364845,Revenue,1E+212,Transport Special,"4,963.80",
Children's Services,Childrens Services Support       ,Transport,24/09/2014,WALKER TAXIS,6369136,Revenue,1MD62,Support to LAC,900.00,
Children's Services,St Anthonys C of E Primary School      ,Transport,10/09/2014,WALKER TAXIS,6357533,Revenue,1E+98,Central Walker Primary,479.80,
Chief Executive's,CD - Business Dev Centres        ,Premises,24/09/2014,WALKERS,6369146,Revenue,1DE49,i4- Quayside NEC,505.00,
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,02/09/2014,WALKERVILLE OVER 50S CLUB,6347368,Revenue,1KN64,Walkergate Ward,"1,000.00",
Adult and Culture,Adult Serv Finance         ,Transfer Payments,15/09/2014,WALTON LUXURY TRAVEL,6360492,Revenue,1E+212,Transport Special,"4,515.59",
Adult and Culture,Adult Serv Finance         ,Transfer Payments,22/09/2014,WALTON LUXURY TRAVEL,6364864,Revenue,1E+212,Transport Special,"7,079.35",
Children's Services,Heaton Manor High School               ,Transfer Payments,10/09/2014,WALTON LUXURY TRAVEL,6357234,Revenue,1E+135,Heaton Manor Comprehensive,690.00,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,10/09/2014,WANDSWORTH BOROUGH COUNCIL,6357135,Revenue,1MK10,Ind Nursing Care LD,"8,687.98",
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,10/09/2014,WANDSWORTH BOROUGH COUNCIL,6357135,Revenue,1MK34,Shared Lives - Adult LD,"8,687.99",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,09/09/2014,WARMSEAL WINDOWS NEWCASTLE LTD,6355105,Revenue,1KVWC,Minor Works Contracts,"2,225.73",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,09/09/2014,WARMSEAL WINDOWS NEWCASTLE LTD,6355121,Revenue,1KVWC,Minor Works Contracts,"2,997.43",
HRA,HRA Property Maint         ,Premises,23/09/2014,WARMSEAL WINDOWS NEWCASTLE LTD,6227496,Revenue,1HBTC,Planned Tech Maintenance,"1,363.85",
Children's Services,Invoice,Third Party Payments,22/09/2014,WARMZONE,6345692,Revenue,3KS04,Newcastle Warm Zone,"30,000.00",
Environment & Regeneration,Fleet Management System                ,Supplies & Services,12/09/2014,WARREN ACCESS LTD,6354025,Revenue,1KESY,Fleet Services Hire office,511.00,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,26/09/2014,WARREN ACCESS LTD,6354028,Revenue,1KESY,Fleet Services Hire office,455.00,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,29/09/2014,WARREN ACCESS LTD,6372035,Revenue,1KESY,Fleet Services Hire office,535.00,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,WASHINGTON GRANGE,6355049,Revenue,1MG20,Ind Res Care Elderly,-495.80,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,WASHINGTON GRANGE,6355049,Revenue,1MG20,Ind Res Care Elderly,"1,720.00",
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,29/09/2014,WASHINGTON LODGE CARE HOME,6370950,Revenue,1MG10,Ind Nursing Care Elderly,"4,241.52",
Adult and Culture,Libraries/Galaxy Payments              ,Supplies & Services,19/09/2014,WATERSTONES,6364392,Revenue,1EJ13,Stock Services,360.29,
Children's Services,Schools Payment Agency                 ,Supplies & Services,19/09/2014,WATERSTONES,6365019,Revenue,1E+170,Bridges School-Hospital,307.07,
Children's Services,St Anthonys C of E Primary School      ,Supplies & Services,18/09/2014,WATERSTONES,6364358,Revenue,1E+98,Central Walker Primary,272.79,
Children's Services,Walker Secon/High School               ,Supplies & Services,11/09/2014,WATERSTONES,6358301,Revenue,1E+137,Walker Comprehensive,"1,205.77",
Children's Services,Walker Secon/High School               ,Supplies & Services,22/09/2014,WATERSTONES,6366564,Revenue,1E+137,Walker Comprehensive,620.73,
Children's Services,Bridges School                         ,Supplies & Services,12/09/2014,WATERSTONES,6359309,Revenue,1E+170,Bridges School-Hospital,757.57,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,WAVERLEY LODGE,6355039,Revenue,1MG10,Ind Nursing Care Elderly,"-3,547.72",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,WAVERLEY LODGE,6355039,Revenue,1MG20,Ind Res Care Elderly,"-2,413.45",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,WAVERLEY LODGE,6355039,Revenue,1MG10,Ind Nursing Care Elderly,"65,009.23",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,WAVERLEY LODGE,6355039,Revenue,1MG20,Ind Res Care Elderly,"7,728.62",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,WAVERLEY LODGE,6355039,Revenue,1MH10,Ind Nursing Care PD,443.56,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2014,WAYMARKS,6373268,Revenue,1MK50,Ind Supported Living LD,"12,500.46",
Children's Services,Schools Payment Agency                 ,Supplies & Services,12/09/2014,WAYOUT IN GATESHEAD,6359571,Revenue,1E+106,Gosforth East Middle,"4,000.00",
Children's Services,Gosforth Central Middle School         ,Supplies & Services,09/09/2014,WAYOUT IN GATESHEAD,6354561,Revenue,1E+105,Gosforth Central Middle,"4,000.00",
Children's Services,Educ School Planning    ,Supplies & Services,05/09/2014,WELBECK ACADEMY PART OF WISE ACADEMIES,6352518,Revenue,1EEP5,2Yr Old Learning & Childcare,"5,092.54",
Children's Services,Walker Secon/High School               ,Supplies & Services,22/09/2014,WELSH JOINT EDUCATION COMMITTEE,6366607,Revenue,1E+137,Walker Comprehensive,320.00,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,WENSLEY HOUSE,6355059,Revenue,1MG20,Ind Res Care Elderly,-868.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,WENSLEY HOUSE,6355059,Revenue,1MG20,Ind Res Care Elderly,"1,890.28",
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,WERNICK HIRE LTD,6353310,Revenue,3KIMF,Highways Stock Account,708.56,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,WERNICK HIRE LTD,6353311,Revenue,3KIMF,Highways Stock Account,708.56,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,WERNICK HIRE LTD,6353312,Revenue,3KIMF,Highways Stock Account,775.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,WERNICK HIRE LTD,6353313,Revenue,3KIMF,Highways Stock Account,775.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,WERNICK HIRE LTD,6353314,Revenue,3KIMF,Highways Stock Account,"1,528.58",
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,WERNICK HIRE LTD,6353375,Revenue,3KIMF,Highways Stock Account,664.28,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,WERNICK HIRE LTD,6353466,Revenue,3KIMF,Highways Stock Account,480.00,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,WERNICK HIRE LTD,6353470,Revenue,3KIMF,Highways Stock Account,708.56,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,WERNICK HIRE LTD,6353490,Revenue,3KIMF,Highways Stock Account,457.16,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2014,WERNICK HIRE LTD,6353493,Revenue,3KIMF,Highways Stock Account,457.14,
Children's Services,Educ Newbiggin S/Start     ,Supplies & Services,18/09/2014,WESCO,6356836,Revenue,1EEH1,NBH CC Central Costs,542.65,
Children's Services,Educ Newbiggin S/Start     ,Supplies & Services,18/09/2014,WESCO,6357108,Revenue,1EEH1,NBH CC Central Costs,"1,344.36",
Children's Services,Educ School Planning    ,Supplies & Services,03/09/2014,WEST DENTON PLAYGROUP,6349576,Revenue,1EEP5,2Yr Old Learning & Childcare,"13,015.10",
Adult and Culture,Social Services-Care Support           ,Supplies & Services,22/09/2014,WEST END BEFRIENDERS,6366466,Revenue,1MG91,Grants To Vol Orgs Elderly,"17,547.53",
Children's Services,Educ School Planning    ,Supplies & Services,10/09/2014,WEST END PLAYGROUP,6349573,Revenue,1EEP5,2Yr Old Learning & Childcare,"4,379.55",
Adult and Culture,Social Services-Care Support           ,Supplies & Services,04/09/2014,WEST END WOMEN AND GIRLS CENTRE,6351173,Revenue,1MX19,Domestic Violence,"4,142.32",
Adult and Culture,Social Services-Care Support           ,Supplies & Services,22/09/2014,WEST END WOMEN AND GIRLS CENTRE,6366468,Revenue,1KEYX,Community Engagement,"5,013.19",
Adult and Culture,Social Services-Care Support           ,Third Party Payments,01/09/2014,WEST END WOMEN AND GIRLS CENTRE,6346562,Revenue,1ML07,PH -Obesity and phys activity,"2,746.52",
Adult and Culture,Social Services-Care Support           ,Third Party Payments,29/09/2014,WEST END WOMEN AND GIRLS CENTRE,6371966,Revenue,1ML07,PH -Obesity and phys activity,"2,746.52",
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,26/09/2014,WEST END WOMENS & GIRLS CENTRE,6371019,Revenue,1KN21,Elswick Ward,"10,399.36",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,WEST FARM RESIDENTIAL CARE,6355073,Revenue,1MG20,Ind Res Care Elderly,"-5,407.60",
